Text,Language,cleaned_text
"En avril 2007, le Pew Internet and American Life Project a constaté que le tiers des internautes américains consultaient Wikipédia[98].",French,en avril le pew internet and american life project a constaté que le tiers des internautes américains consultaient wikipédia
"En octobre 2006, le site a été estimé à une valeur de marché hypothétique de 580 millions de dollars américains s'il y avait des publicités[99].",French,en octobre le site a été estimé à une valeur de marché hypothétique de millions de dollars américains sil y avait des publicités
"En juillet 2007, Wikipédia a fait l'objet d'un documentaire de 30 minutes sur la BBC Radio 4[100], qui affirmait que « Wikipédia » était devenu un terme connu par tout le monde, au même titre que « Google », « Facebook » et « YouTube ».",French,en juillet wikipédia a fait lobjet dun documentaire de minutes sur la bbc radio qui affirmait que wikipédia était devenu un terme connu par tout le monde au même titre que google facebook et youtube
"Le cinéaste néerlandais IJsbrand van Veelen a créé un documentaire télévisé de 45 minutes en avril 2008, The Truth According to Wikipedia[101].",French,le cinéaste néerlandais ijsbrand van veelen a créé un documentaire télévisé de minutes en avril the truth according to wikipedia
"Dans les pays pauvres, là où le livre est rare, l'abonnement internet hors de prix[102], Wikipédia est massivement utilisé par les étudiants, ainsi que comme produit d'appel par les opérateurs[103].",French,dans les pays pauvres là où le livre est rare labonnement internet hors de prix wikipédia est massivement utilisé par les étudiants ainsi que comme produit dappel par les opérateurs
"Dans un communiqué de presse du 10 novembre 2009, Wikimedia Foundation annonce recevoir plus de 320 millions de visiteurs par mois pour Wikipédia et ses projets frères, d'après comScore Media Metrix[104].",French,dans un communiqué de presse du novembre wikimedia foundation annonce recevoir plus de millions de visiteurs par mois pour wikipédia et ses projets frères daprès comscore media metrix
De nombreux projets d'encyclopédie existent — ou ont déjà existé — sur Internet.,French,de nombreux projets dencyclopédie existent ou ont déjà existé sur internet
"Certains, tels que la Stanford Encyclopedia of Philosophy[ak] ou la défunte Nupedia, ont adopté une politique éditoriale traditionnelle, avec par exemple un seul auteur par article.",French,certains tels que la stanford encyclopedia of philosophyak ou la défunte nupedia ont adopté une politique éditoriale traditionnelle avec par exemple un seul auteur par article
"La forte fréquentation de Wikipédia, combinée aux critiques sur son principe de fonctionnement, ont également poussé au développement de projets concurrents.",French,la forte fréquentation de wikipédia combinée aux critiques sur son principe de fonctionnement ont également poussé au développement de projets concurrents
Citizendium est par exemple une encyclopédie en ligne en anglais dirigée par Larry Sanger et publiée sous licence libre.,French,citizendium est par exemple une encyclopédie en ligne en anglais dirigée par larry sanger et publiée sous licence libre
Elle se distingue notamment par l'obligation pour les rédacteurs d'indiquer leur nom et de préciser leurs diplômes.,French,elle se distingue notamment par lobligation pour les rédacteurs dindiquer leur nom et de préciser leurs diplômes
"Le 5 décembre 2009, Citizendium propose 12 790 articles, dont 121 ont été approuvés par son système de sélection.",French,le décembre citizendium propose articles dont ont été approuvés par son système de sélection
"À titre de comparaison et à la même date, Wikipédia en anglais propose 3 116 306 articles, dont 2 710 sont présentés comme articles de qualité (featured articles).",French,à titre de comparaison et à la même date wikipédia en anglais propose articles dont sont présentés comme articles de qualité featured articles
"L'exemple de Wikipédia a aussi suscité la création de projets plus spécialisés, comme l'encyclopédie thématique Memory Alpha, consacrée à l'univers de Star Trek, ou le site parodique Désencyclopédie.",French,lexemple de wikipédia a aussi suscité la création de projets plus spécialisés comme lencyclopédie thématique memory alpha consacrée à lunivers de star trek ou le site parodique désencyclopédie
"Également inspirée de Wikipédia[105], Wikimini et Vikidia offrent un dessein pédagogique à ces nouveaux wikis en proposant aux enfants et adolescents de construire leur propre encyclopédie en ligne[106].",French,également inspirée de wikipédia wikimini et vikidia offrent un dessein pédagogique à ces nouveaux wikis en proposant aux enfants et adolescents de construire leur propre encyclopédie en ligne
"D'autres, tels que Susning[al] et l'Enciclopedia Libre Universal en Español, sont des wikis dans lesquels les articles sont écrits par divers collaborateurs sans processus formel de révision.",French,dautres tels que susningal et lenciclopedia libre universal en español sont des wikis dans lesquels les articles sont écrits par divers collaborateurs sans processus formel de révision
"Conservapedia est une encyclopédie collaborative en ligne en anglais, conservatrice et créationniste, construite en réaction à la neutralité de point de vue de Wikipédia en anglais, jugée trop « gauchiste » » et « liberal » (au sens américain du terme)[107].",French,conservapedia est une encyclopédie collaborative en ligne en anglais conservatrice et créationniste construite en réaction à la neutralité de point de vue de wikipédia en anglais jugée trop gauchiste et liberal au sens américain du terme
"Le projet Wikipédia a aussi influencé la création d'une encyclopédie d'extrême droite qui se dit « encyclopédie alternative », Metapedia, créée le 26 octobre 2006 en suédois, puis son pendant slave, Wikislavia.",French,le projet wikipédia a aussi influencé la création dune encyclopédie dextrême droite qui se dit encyclopédie alternative metapedia créée le octobre en suédois puis son pendant slave wikislavia
"Metapedia existe en suédois, en anglais, en hongrois, en espagnol, en français, en slovaque, en portugais, en tchèque, en roumain, en allemand, en estonien, en norvégien, en croate, en danois, en néerlandais et en grec.",French,metapedia existe en suédois en anglais en hongrois en espagnol en français en slovaque en portugais en tchèque en roumain en allemand en estonien en norvégien en croate en danois en néerlandais et en grec
"Wikislavia existe en russe, en une langue appelée « sibérien », en tchakavien (croate), en kaïkavien (croate), en russe latinisé, en « don-cosaque », en panslavon, en moldave[Quoi ?]",French,wikislavia existe en russe en une langue appelée sibérien en tchakavien croate en kaïkavien croate en russe latinisé en doncosaque en panslavon en moldavequoi
[réf.,French,réf
nécessaire] et en ukrainien.,French,nécessaire et en ukrainien
"Influencées par le positionnement de Wikipédia sur Internet, les Éditions Larousse ont ouvert en mai 2008 leur encyclopédie en ligne à un accès public et gratuit, et développé un espace consacré à des articles rédigés par les internautes[108].",French,influencées par le positionnement de wikipédia sur internet les éditions larousse ont ouvert en mai leur encyclopédie en ligne à un accès public et gratuit et développé un espace consacré à des articles rédigés par les internautes
"L'Encyclopædia Universalis propose aussi une version consultable en ligne, sur un modèle payant par abonnement et reposant sur l'érudition de ses auteurs assumant un parti pris éclairé dans la rédaction des articles.",French,lencyclopædia universalis propose aussi une version consultable en ligne sur un modèle payant par abonnement et reposant sur lérudition de ses auteurs assumant un parti pris éclairé dans la rédaction des articles
"En octobre 2009, un comparatif du magazine Clubic, portant sur six encyclopédies en ligne francophones, concluait à la prédominance de Wikipédia dans l'exhaustivité et l'actualisation de ses informations, et d'Universalis dans la pertinence.",French,en octobre un comparatif du magazine clubic portant sur six encyclopédies en ligne francophones concluait à la prédominance de wikipédia dans lexhaustivité et lactualisation de ses informations et duniversalis dans la pertinence
"L'encyclopédie Larousse était perçue comme un compromis viable, mais cumulant aussi les défauts des deux autres modèles[109].",French,lencyclopédie larousse était perçue comme un compromis viable mais cumulant aussi les défauts des deux autres modèles
"En Chine, le moteur de recherche Baidu a ouvert l'encyclopédie en ligne Baidu Baike le 20 avril 2006.",French,en chine le moteur de recherche baidu a ouvert lencyclopédie en ligne baidu baike le avril
"Le contenu, 1,7 million d'articles en juillet 2009, est rédigé par les internautes sinophones qui cèdent leurs droits d'auteur à Baidu.",French,le contenu million darticles en juillet est rédigé par les internautes sinophones qui cèdent leurs droits dauteur à baidu
"Baike.com est une autre encyclopédie en ligne en chinois : reposant sur une technologie wiki, elle contient, en septembre 2009, 3,23 millions d'articles placés sous copyright.",French,baikecom est une autre encyclopédie en ligne en chinois reposant sur une technologie wiki elle contient en septembre millions darticles placés sous copyright
Des systèmes de contrôle assurent sur ces deux sites que des informations jugées inappropriées par le gouvernement de la République populaire de Chine ne sont pas publiées.,French,des systèmes de contrôle assurent sur ces deux sites que des informations jugées inappropriées par le gouvernement de la république populaire de chine ne sont pas publiées
"À titre de comparaison, Wikipédia en chinois contient 270 000 articles en septembre 2009, et son site web a été fréquemment bloqué en Chine, notamment parce qu'elle présentait des articles sur des sujets sensibles comme les manifestations de la place Tian'anmen, le Falun Gong, ou le dalaï-lama.[réf.",French,à titre de comparaison wikipédia en chinois contient articles en septembre et son site web a été fréquemment bloqué en chine notamment parce quelle présentait des articles sur des sujets sensibles comme les manifestations de la place tiananmen le falun gong ou le dalaïlamaréf
"nécessaire] Wikipédia est devenue un sujet d'actualité, de débat et de satire dans de nombreux pays.",French,nécessaire wikipédia est devenue un sujet dactualité de débat et de satire dans de nombreux pays
"Certaines sources médiatiques font sa satire en insistant sur le manque de fiabilité de Wikipédia, comme le journal satirique The Onion[110].",French,certaines sources médiatiques font sa satire en insistant sur le manque de fiabilité de wikipédia comme le journal satirique the onion
"D'autres critiquent le fait que tout le monde peut modifier Wikipédia, comme dans un épisode de la série télévisée The Office, où Michael Scott déclare que « Wikipédia est la meilleure chose de tous les temps.",French,dautres critiquent le fait que tout le monde peut modifier wikipédia comme dans un épisode de la série télévisée the office où michael scott déclare que wikipédia est la meilleure chose de tous les temps
N'importe qui dans le monde peut écrire n'importe quoi sur n'importe quel sujet.,French,nimporte qui dans le monde peut écrire nimporte quoi sur nimporte quel sujet
"» Des émissions radiophoniques ou télévisées, comme le The Colbert Report, ont plusieurs fois incité les téléspectateurs à modifier les pages de Wikipédia, parfois pour y inclure des informations volontairement erronées ou fantaisistes.",French,des émissions radiophoniques ou télévisées comme le the colbert report ont plusieurs fois incité les téléspectateurs à modifier les pages de wikipédia parfois pour y inclure des informations volontairement erronées ou fantaisistes
"Inversement, l'illustration Protestataire wikipédien de xkcd s'amuse de l'obsession des Wikipédiens à fournir des sources à toutes les affirmations et dénonce la démagogie des politiques : dans une foule assistant à un discours politique, un individu brandit une pancarte mettant en doute l'assertion de l'homme politique et demandant une référence.",French,inversement lillustration protestataire wikipédien de xkcd samuse de lobsession des wikipédiens à fournir des sources à toutes les affirmations et dénonce la démagogie des politiques dans une foule assistant à un discours politique un individu brandit une pancarte mettant en doute lassertion de lhomme politique et demandant une référence
"De nombreux sites internet, comme les blogs, les sites officiels ou journalistiques, peuvent proposer des liens complémentaires vers des articles de Wikipédia pour approfondir un sujet.",French,de nombreux sites internet comme les blogs les sites officiels ou journalistiques peuvent proposer des liens complémentaires vers des articles de wikipédia pour approfondir un sujet
"En 2015 puis 2017 un Londonien se sert de la base Wikipédia de façon ludique pour faire voyager virtuellement les internautes[111],[112].",French,en puis un londonien se sert de la base wikipédia de façon ludique pour faire voyager virtuellement les internautes
"En 2017, le compositeur biélorusse Ales Tsurko réalise un album à partir d'articles Wikipédia[113].",French,en le compositeur biélorusse ales tsurko réalise un album à partir darticles wikipédia
Wikipédia et le travail collaboratif qui la produit sont rapidement devenus un objet d'études de la part de chercheurs dont une partie s'est réunie dans un réseau dit Wikimedia Research Network ou travaille avec la Wikimedia Foundation ou les associations locales[114].,French,wikipédia et le travail collaboratif qui la produit sont rapidement devenus un objet détudes de la part de chercheurs dont une partie sest réunie dans un réseau dit wikimedia research network ou travaille avec la wikimedia foundation ou les associations locales
Le contenu de Wikipédia sert de références dans plusieurs articles de la littérature médicale professionnelle.,French,le contenu de wikipédia sert de références dans plusieurs articles de la littérature médicale professionnelle
"Cette tendance, bien que minoritaire, semble en 2014 en augmentation depuis 2010.",French,cette tendance bien que minoritaire semble en en augmentation depuis
La plupart des citations appuie une définition ou une description.,French,la plupart des citations appuie une définition ou une description
Cette situation n'est pas limitée aux journaux à faible facteur d'impact[115].,French,cette situation nest pas limitée aux journaux à faible facteur dimpact
Le suivi des consultations des articles de Wikipédia aux États-Unis pourrait refléter la situation épidémique américaine de maladies telles que la grippe[116].,French,le suivi des consultations des articles de wikipédia aux étatsunis pourrait refléter la situation épidémique américaine de maladies telles que la grippe
"En 2017, les archives cantonales du canton de Vaud (Suisse) étudient l'utilisation du vecteur Wikipédia « pour mettre en valeur et vulgariser les travaux des historiens »[117].",French,en les archives cantonales du canton de vaud suisse étudient lutilisation du vecteur wikipédia pour mettre en valeur et vulgariser les travaux des historiens
Certaines réutilisations ont été jugées inappropriées.,French,certaines réutilisations ont été jugées inappropriées
"Aux États-Unis, deux jugements ont été cassés en appel parce qu'un des partis avait présenté du contenu de l'encyclopédie Wikipédia pour soutenir une information : le contenu des articles a été jugé trop volatil pour servir de référence, sans prévaloir de l'exactitude ou non de l'information présentée[118],[119],[120].",French,aux étatsunis deux jugements ont été cassés en appel parce quun des partis avait présenté du contenu de lencyclopédie wikipédia pour soutenir une information le contenu des articles a été jugé trop volatil pour servir de référence sans prévaloir de lexactitude ou non de linformation présentée
"Wikipédia est aussi utilisée comme source pour des articles de presse[121], provoquant des polémiques lorsqu'une information erronée et non supportée par une note de référence indiquant sa source, est reprise sans vérification par les journalistes[122],[123].",French,wikipédia est aussi utilisée comme source pour des articles de presse provoquant des polémiques lorsquune information erronée et non supportée par une note de référence indiquant sa source est reprise sans vérification par les journalistes
"Plusieurs journalistes ont été licenciés pour plagiat de Wikipédia[124],[125],[126].",French,plusieurs journalistes ont été licenciés pour plagiat de wikipédia
"En 2007, le Washington Post déclare que Wikipédia était devenue un point central de la campagne électorale de 2008 des États-Unis, en précisant : « Tapez un nom de candidat sur Google et l'un des premiers résultats est une page de Wikipédia, ce qui rend ces entrées peut-être aussi importantes que les publicités pour définir un candidat.",French,en le washington post déclare que wikipédia était devenue un point central de la campagne électorale de des étatsunis en précisant tapez un nom de candidat sur google et lun des premiers résultats est une page de wikipédia ce qui rend ces entrées peutêtre aussi importantes que les publicités pour définir un candidat
"Ces entrées présidentielles sont déjà modifiées, disséquées et débattues de nombreuses fois chaque jour.",French,ces entrées présidentielles sont déjà modifiées disséquées et débattues de nombreuses fois chaque jour
»[127] Un article d'octobre 2007 de l'agence de presse Reuters indiquait qu'avoir un article sur Wikipédia commençait à prouver la notoriété d'une personne[128].,French,un article doctobre de lagence de presse reuters indiquait quavoir un article sur wikipédia commençait à prouver la notoriété dune personne
"Lors de la campagne électorale présidentielle française de 2017, Europe 1 analyse le poids de chaque candidat dans Wikipédia, volumes des articles, posts des discussions, etc.[129].",French,lors de la campagne électorale présidentielle française de europe analyse le poids de chaque candidat dans wikipédia volumes des articles posts des discussions etc
"Les médias ont ensuite relevé l'engouement de wikipédiens pour créer les 300 articles consécutifs aux élections législatives[130],[131].",French,les médias ont ensuite relevé lengouement de wikipédiens pour créer les articles consécutifs aux élections législatives
"À la suite de l’élection de nombreux nouveaux députés élus pour la première fois à l'Assemblée nationale, des wikipédiens « ont souvent dû créer ex-nihilo de nouveaux articles » sur les nouveaux parlementaires.",French,à la suite de lélection de nombreux nouveaux députés élus pour la première fois à lassemblée nationale des wikipédiens ont souvent dû créer exnihilo de nouveaux articles sur les nouveaux parlementaires
Le Parisien rapporte que « seuls 56 des 309 députés élus d'En Marche !,French,le parisien rapporte que seuls des députés élus den marche
avaient une page Wikipédia avant le premier tour des législatives »[132].,French,avaient une page wikipédia avant le premier tour des législatives
"Selon L'Obs, lors de la création d'articles sur ces personnalités des « tentatives de censure » ont été enregistrées sur les articles concernant Alain Péréa, Buon Tan, Émilie Guerel et Didier Martin qui « ont fait l'objet d'interventions visiblement partisanes »[133].",French,selon lobs lors de la création darticles sur ces personnalités des tentatives de censure ont été enregistrées sur les articles concernant alain péréa buon tan émilie guerel et didier martin qui ont fait lobjet dinterventions visiblement partisanes
"La volonté de Wikipédia de diffuser du contenu libre, y compris pour nombre de ses illustrations, a eu une petite influence en Italie sur le débat parlementaire relatif aux libertés et à la protection du droit d'auteur.",French,la volonté de wikipédia de diffuser du contenu libre y compris pour nombre de ses illustrations a eu une petite influence en italie sur le débat parlementaire relatif aux libertés et à la protection du droit dauteur
"Le 28 septembre 2007, l'homme politique italien Franco Grillini a soulevé une question parlementaire adressée à la ministre des ressources culturelles et des activités, sur la nécessité d'introduire dans la législation italienne la liberté de panorama telle qu'elle existe dans d'autres pays européens.",French,le septembre lhomme politique italien franco grillini a soulevé une question parlementaire adressée à la ministre des ressources culturelles et des activités sur la nécessité dintroduire dans la législation italienne la liberté de panorama telle quelle existe dans dautres pays européens
"Il a affirmé que l'absence de cette liberté forçait Wikipédia, « le septième site le plus consulté », à interdire toutes les images de bâtiments modernes et d'art moderne italien, et a déclaré que c'était très handicapant pour les recettes touristiques[134].",French,il a affirmé que labsence de cette liberté forçait wikipédia le septième site le plus consulté à interdire toutes les images de bâtiments modernes et dart moderne italien et a déclaré que cétait très handicapant pour les recettes touristiques
Le contenu figurant sur Wikipédia a également été cité comme une source de référence dans certains rapports de la communauté du renseignement des États-Unis[135].,French,le contenu figurant sur wikipédia a également été cité comme une source de référence dans certains rapports de la communauté du renseignement des étatsunis
"Le 10 mars 2015, l'Union américaine pour les libertés civiles (ACLU) a déposé une plainte au nom d'Amnesty International États-Unis, de Human Rights Watch (HRW) et de sept autres organisations non-gouvernementales, médiatiques et juridiques, dont la fondation Wikimedia, à l'encontre de la National Security Agency (NSA), l'accusant d'avoir « dépassé l'autorité que le Congrès lui confère ».",French,le mars lunion américaine pour les libertés civiles aclu a déposé une plainte au nom damnesty international étatsunis de human rights watch hrw et de sept autres organisations nongouvernementales médiatiques et juridiques dont la fondation wikimedia à lencontre de la national security agency nsa laccusant davoir dépassé lautorité que le congrès lui confère
"La plainte argue que les droits constitutionnels des plaignants sont violés, en particulier le Premier Amendement qui protège la liberté de parole et de la presse, et le Quatrième Amendement qui interdit « les fouilles ou saisies sans raison ».",French,la plainte argue que les droits constitutionnels des plaignants sont violés en particulier le premier amendement qui protège la liberté de parole et de la presse et le quatrième amendement qui interdit les fouilles ou saisies sans raison
"Lila Tretikov, directrice de la Fondation Wikimedia, déclare alors « Wikipedia est fondé sur la liberté d'expression, d'enquête et d'information.",French,lila tretikov directrice de la fondation wikimedia déclare alors wikipedia est fondé sur la liberté dexpression denquête et dinformation
"En violant la vie privée de nos usagers, la NSA menace la liberté intellectuelle qui est centrale pour la capacité à créer et à comprendre des connaissances »[136].",French,en violant la vie privée de nos usagers la nsa menace la liberté intellectuelle qui est centrale pour la capacité à créer et à comprendre des connaissances
"Le 12 juin 2015, la Wikimedia Foundation annonce l'utilisation du protocole de communication chiffré HTTPS pour tout le trafic Wikimedia, dans l'optique de contrer la surveillance globale exercée par la NSA, qui profite en particulier des insuffisances du protocole de communication HTTP en matière de sécurité[137],[138].",French,le juin la wikimedia foundation annonce lutilisation du protocole de communication chiffré https pour tout le trafic wikimedia dans loptique de contrer la surveillance globale exercée par la nsa qui profite en particulier des insuffisances du protocole de communication http en matière de sécurité
"« Aujourd'hui, nous sommes heureux d'annoncer que nous sommes en train de mettre en œuvre le protocole HTTPS pour chiffrer tout le trafic Wikimedia.",French,aujourdhui nous sommes heureux dannoncer que nous sommes en train de mettre en œuvre le protocole https pour chiffrer tout le trafic wikimedia
"Nous allons aussi utiliser le mécanisme HTTP Strict Transport Security (HSTS) afin de se prémunir contre les efforts visant à casser le trafic HTTPS pour intercepter ensuite le trafic » annonce la Fondation, via son blog, qui poursuit, en dénonçant la surveillance de l'Internet : « Dans un monde où la surveillance de masse est devenue une menace sérieuse pour la liberté intellectuelle, les connexions sécurisées sont devenues essentielles pour protéger les utilisateurs tout autour du monde[139].",French,nous allons aussi utiliser le mécanisme http strict transport security hsts afin de se prémunir contre les efforts visant à casser le trafic https pour intercepter ensuite le trafic annonce la fondation via son blog qui poursuit en dénonçant la surveillance de linternet dans un monde où la surveillance de masse est devenue une menace sérieuse pour la liberté intellectuelle les connexions sécurisées sont devenues essentielles pour protéger les utilisateurs tout autour du monde
"» L'utilisation du protocole HTTPS s'étendra donc à Wikipédia et ses projets frères, afin de garantir un maximum de sécurité aux utilisateurs[137].",French,lutilisation du protocole https sétendra donc à wikipédia et ses projets frères afin de garantir un maximum de sécurité aux utilisateurs
La Turquie bloque l'accès à Wikipédia le 29 avril 2017 en raison de la présence d'articles évoquant la possible collaboration entre le gouvernement turc et des organisations jihadistes actives en Syrie[140].,French,la turquie bloque laccès à wikipédia le avril en raison de la présence darticles évoquant la possible collaboration entre le gouvernement turc et des organisations jihadistes actives en syrie
"Le 26 décembre 2019, saisie par la fondation Wikimédia, la Cour constitutionnelle du pays juge que le blocage de Wikipédia constitue une « violation de la liberté d'expression ».",French,le décembre saisie par la fondation wikimédia la cour constitutionnelle du pays juge que le blocage de wikipédia constitue une violation de la liberté dexpression
"Le blocage est levé le 15 janvier 2020, jour de la publication de l'arrêt complet de la cour au Journal officiel, soit 991 jours après le début du blocage.",French,le blocage est levé le janvier jour de la publication de larrêt complet de la cour au journal officiel soit jours après le début du blocage
"La Turquie était le seul pays avec la Chine où toutes les éditions de Wikipédia étaient bloquées[141],[142],[143].",French,la turquie était le seul pays avec la chine où toutes les éditions de wikipédia étaient bloquées
"La Chine bloque l'accès à Wikipédia dans toutes les langues en avril 2019, dans le cadre de la censure d'Internet dans ce pays[144].",French,la chine bloque laccès à wikipédia dans toutes les langues en avril dans le cadre de la censure dinternet dans ce pays
"En mai 2017, une étude[145] du Berkman Klein Center for Internet & Society relève que contrairement à certaines craintes exprimées lors des débats nourris sur le passage au chiffrement HTTPS en 2015, ce changement a contribué à faire baisser la censure de Wikipédia dans le monde.",French,en mai une étude du berkman klein center for internet society relève que contrairement à certaines craintes exprimées lors des débats nourris sur le passage au chiffrement https en ce changement a contribué à faire baisser la censure de wikipédia dans le monde
"Le HTTPS empêchant les censeurs de voir quelle page les internautes consultent[145], le risque était que des États comme la Russie et le Royaume-Uni, qui bloquaient l'accès à certaines pages du site uniquement, décident de censurer l’intégralité du site[146].",French,le https empêchant les censeurs de voir quelle page les internautes consultent le risque était que des états comme la russie et le royaumeuni qui bloquaient laccès à certaines pages du site uniquement décident de censurer lintégralité du site
"Le contenu de Wikipédia est utilisé sur des sites webs, dans des devoirs scolaires, dans des études universitaires, des livres, des conférences et des affaires judiciaires[147].",French,le contenu de wikipédia est utilisé sur des sites webs dans des devoirs scolaires dans des études universitaires des livres des conférences et des affaires judiciaires
"Le développement du numérique a amené des changements et initiatives dans le monde de l’enseignement, notamment avec l’émergence de démarches collaboratives.",French,le développement du numérique a amené des changements et initiatives dans le monde de lenseignement notamment avec lémergence de démarches collaboratives
"Certains enseignants, comme Lionel Barbe de l'université Paris-Nanterre, proposent à leurs étudiants des ateliers collaboratifs, notamment sur Wikiversité.",French,certains enseignants comme lionel barbe de luniversité parisnanterre proposent à leurs étudiants des ateliers collaboratifs notamment sur wikiversité
Cette plate-forme permet de guider les étudiants dans leurs travaux et leurs contributions sur des pages Wikipédia selon des sujets choisis.,French,cette plateforme permet de guider les étudiants dans leurs travaux et leurs contributions sur des pages wikipédia selon des sujets choisis
Une démarche universitaire qui intéresse de plus en plus le monde de l’enseignement notamment dans des cours qui mobilisent l’utilisation d’outils propres aux TIC (Technologies de l'information et de la Communication).,French,une démarche universitaire qui intéresse de plus en plus le monde de lenseignement notamment dans des cours qui mobilisent lutilisation doutils propres aux tic technologies de linformation et de la communication
"Le rapport[148] du Conseil national du numérique, Bâtir une école créative et juste dans un monde numérique, propose une réflexion sur la manière d’inclure la culture numérique dans la vie de tous les citoyens dans leur formation ou leur apprentissage.",French,le rapport du conseil national du numérique bâtir une école créative et juste dans un monde numérique propose une réflexion sur la manière dinclure la culture numérique dans la vie de tous les citoyens dans leur formation ou leur apprentissage
Wikipédia y est cité en tant que modèle « socio-technique » où les individus peuvent échanger les uns et les autres à travers un système de partage de connaissances.,French,wikipédia y est cité en tant que modèle sociotechnique où les individus peuvent échanger les uns et les autres à travers un système de partage de connaissances
Les pouvoirs publics commencent à soutenir ce modèle d’enseignement : des partenariats tels que celui avec le Ministère de la Culture donnent lieu à une institutionnalisation progressive de Wikipédia.,French,les pouvoirs publics commencent à soutenir ce modèle denseignement des partenariats tels que celui avec le ministère de la culture donnent lieu à une institutionnalisation progressive de wikipédia
D'autres initiatives sont aussi menées afin de développer une culture collaborative dans l'enseignement.,French,dautres initiatives sont aussi menées afin de développer une culture collaborative dans lenseignement
Le Wikipedia Education Program[149] permet à de nombreux étudiants dans des universités américaines et canadiennes d'y contribuer dans un cadre précis.,French,le wikipedia education program permet à de nombreux étudiants dans des universités américaines et canadiennes dy contribuer dans un cadre précis
"Dans la continuité du modèle du web 2.0, l’enseignement tend à développer du lien plus que du savoir pur, avec un professeur devenu davantage « passeur » qui encourage les élèves à acquérir eux-mêmes une base de savoirs.",French,dans la continuité du modèle du web lenseignement tend à développer du lien plus que du savoir pur avec un professeur devenu davantage passeur qui encourage les élèves à acquérir euxmêmes une base de savoirs
"On passe alors à une diffusion de la connaissance horizontale plutôt que verticale, laissant aux étudiants l’occasion d’être proactifs[150].",French,on passe alors à une diffusion de la connaissance horizontale plutôt que verticale laissant aux étudiants loccasion dêtre proactifs
"L'historien des sciences Alexandre Moatti parle du numérique comme d’un nouveau mode de communication, dans lequel Wikipédia offre un terrain de recherche adéquat pour passer d’un concept à un autre, d’une langue à une autre[151].",French,lhistorien des sciences alexandre moatti parle du numérique comme dun nouveau mode de communication dans lequel wikipédia offre un terrain de recherche adéquat pour passer dun concept à un autre dune langue à une autre
"En 2015, une étude sur l'usage de Wikipédia dans l'enseignement français montre une utilisation accrue de l'encyclopédie participative en tant que ressource par les enseignants et les élèves[152],[153].",French,en une étude sur lusage de wikipédia dans lenseignement français montre une utilisation accrue de lencyclopédie participative en tant que ressource par les enseignants et les élèves
"Lors du Forum du numérique éducatif organisé pour les enseignants dans les locaux de l'Insa de Blois, un intervenant a rappelé la pertinence de Wikipédia à longue échéance dans les établissements scolaires, en particulier en vue de montrer aux élèves comment se construit le savoir[154].",French,lors du forum du numérique éducatif organisé pour les enseignants dans les locaux de linsa de blois un intervenant a rappelé la pertinence de wikipédia à longue échéance dans les établissements scolaires en particulier en vue de montrer aux élèves comment se construit le savoir
"L'ensemble des prix décernés à Wikipédia peut être vu sur Wikipédia:Meta, sur la page Trophy shelf.",French,lensemble des prix décernés à wikipédia peut être vu sur wikipédiameta sur la page trophy shelf
Wikipédia a reçu deux prix en mai 2004.,French,wikipédia a reçu deux prix en mai
"Le premier était un Golden Nica (en) pour les communautés numériques, qui fut remis par Ars Electronica avec la somme de 10 000 € et une invitation à se présenter au PAE Cyberarts Festival en Autriche, plus tard dans l'année.",French,le premier était un golden nica en pour les communautés numériques qui fut remis par ars electronica avec la somme de et une invitation à se présenter au pae cyberarts festival en autriche plus tard dans lannée
"Le deuxième était un Webby Awards dans la catégorie « communauté », remis par l'International Academy of Digital Arts and Sciences, basée à New York[155].",French,le deuxième était un webby awards dans la catégorie communauté remis par linternational academy of digital arts and sciences basée à new york
Wikipédia a également été proposée pour un Webby Award dans la catégorie « meilleures pratiques ».,French,wikipédia a également été proposée pour un webby award dans la catégorie meilleures pratiques
"En septembre 2004, la version japonaise de Wikipédia a reçu le Web Creation Award de la part de l'Association des publicitaires japonais.",French,en septembre la version japonaise de wikipédia a reçu le web creation award de la part de lassociation des publicitaires japonais
"Cette récompense, normalement donnée à des personnes réelles pour de grandes contributions sur le web en japonais, fut acceptée par un contributeur de longue date de Wikipedia en japonais.",French,cette récompense normalement donnée à des personnes réelles pour de grandes contributions sur le web en japonais fut acceptée par un contributeur de longue date de wikipedia en japonais
"Le 26 janvier 2007, « Wikipédia » a aussi été nommée quatrième meilleure marque par les lecteurs de brandchannel, recevant 15 % des voix en réponse à la question « Quelle marque a le plus d'impact sur nos vies en 2006[156] ?",French,le janvier wikipédia a aussi été nommée quatrième meilleure marque par les lecteurs de brandchannel recevant des voix en réponse à la question quelle marque a le plus dimpact sur nos vies en
"» En septembre 2008, Wikipédia a reçu le prix Quadriga 2008, également attribué à Boris Tadić, Eckart Höfling (en) et Peter Gabriel.",French,en septembre wikipédia a reçu le prix quadriga également attribué à boris tadić eckart höfling en et peter gabriel
Le prix a été décerné à Jimmy Wales par David Weinberger (en)[157].,French,le prix a été décerné à jimmy wales par david weinberger en
"En 2009, les Webby Awards classent la création de Wikipédia en 2001 comme l'un des « moments les plus importants de la vie du web ces dix dernières années »[158].",French,en les webby awards classent la création de wikipédia en comme lun des moments les plus importants de la vie du web ces dix dernières années
